field,ui_file:lines,live_endpoint,live_jsonpath_or_dom,publish_file_or_endpoint,publish_jsonpath,transform_file:lines,transform_symbol,raw_sources,verdict,root_cause_short,evidence_refs
budgets.workersRequests.usedToday,public/ops/index.html:634,/api/mission-control/summary,data.budgets.workersRequests.usedToday,/api/mission-control/summary,data.budgets.workersRequests.usedToday,functions/api/mission-control/summary.js:1636-1641,budgets.workersRequests.usedToday,computeBudgets(env),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1636-1641:budgets functions/api/mission-control/summary.js:2:computeBudgets public/ops/index.html:632-635:display
opsLive.cloudflare.requestsLast24h,public/ops/index.html:635,/api/mission-control/summary,data.opsLive.cloudflare.requestsLast24h,/api/mission-control/summary,data.opsLive.cloudflare.requestsLast24h,functions/api/mission-control/summary.js:1584,cf.requestsLast24h,fetchCloudflareWorkerRequests(env),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1579-1588:opsLiveResolved functions/api/mission-control/summary.js:649:fetchCloudflareWorkerRequests public/ops/index.html:633-635:display
opsBaseline.baseline.safety.kvWritesToday,public/ops/index.html:659,/api/mission-control/summary,data.opsBaseline.baseline.safety.kvWritesToday,/api/mission-control/summary,data.opsBaseline.baseline.safety.kvWritesToday,functions/api/mission-control/summary.js:1660-1669,opsBaseline.baseline.safety.kvWritesToday,fetchAssetJson(/data/ops/baseline.json),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1660-1669:opsBaseline public/ops/index.html:658-660:display
pipeline.counts.fetched,public/ops/index.html:705-709,/api/mission-control/summary,data.pipeline.counts.fetched,/api/mission-control/summary,data.pipeline.counts.fetched,functions/api/mission-control/summary.js:1644,pipelineCounts.fetched,fetchAssetJson(/data/pipeline/nasdaq100.fetched.json),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1201-1208:pipeline artifacts functions/api/mission-control/summary.js:1644:assignment public/ops/index.html:686-709:display
pipeline.counts.validated,public/ops/index.html:705-709,/api/mission-control/summary,data.pipeline.counts.validated,/api/mission-control/summary,data.pipeline.counts.validated,functions/api/mission-control/summary.js:1644,pipelineCounts.validated,fetchAssetJson(/data/pipeline/nasdaq100.validated.json),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1201-1208:pipeline artifacts functions/api/mission-control/summary.js:1644:assignment public/ops/index.html:686-709:display
pipeline.counts.computed,public/ops/index.html:705-709,/api/mission-control/summary,data.pipeline.counts.computed,/api/mission-control/summary,data.pipeline.counts.computed,functions/api/mission-control/summary.js:1644,pipelineCounts.computed,fetchAssetJson(/data/pipeline/nasdaq100.computed.json),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1201-1208:pipeline artifacts functions/api/mission-control/summary.js:1644:assignment public/ops/index.html:686-709:display
pipeline.counts.static_ready,public/ops/index.html:705-709,/api/mission-control/summary,data.pipeline.counts.static_ready,/api/mission-control/summary,data.pipeline.counts.static_ready,functions/api/mission-control/summary.js:1644,pipelineCounts.static_ready,fetchAssetJson(/data/pipeline/nasdaq100.static-ready.json),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1201-1208:pipeline artifacts functions/api/mission-control/summary.js:1644:assignment public/ops/index.html:686-709:display
coverage.computed,public/ops/index.html:693-694,/api/mission-control/summary,data.coverage.computed,/api/mission-control/summary,data.coverage.computed,functions/api/mission-control/summary.js:1651,Number(pipelineCounts.computed),pipelineCounts.computed,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1651:assignment public/ops/index.html:693-694:display
coverage.missing,public/ops/index.html:693-694,/api/mission-control/summary,data.coverage.missing,/api/mission-control/summary,data.coverage.missing,functions/api/mission-control/summary.js:1652,missing.length,missing array from pipelineTruth,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1652:assignment public/ops/index.html:693-694:display
metadata.fetched_at,public/ops/index.html:650-651,/api/mission-control/summary,metadata.fetched_at,/api/mission-control/summary,metadata.fetched_at,functions/api/mission-control/summary.js:1606,startedAtIso,new Date().toISOString(),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1606:assignment public/ops/index.html:650-651:display
meta.asOf,public/ops/index.html:650-651,/api/mission-control/summary,meta.asOf,/api/mission-control/summary,meta.asOf,functions/api/mission-control/summary.js:1594,startedAtIso,new Date().toISOString(),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1594:assignment public/ops/index.html:650-651:display
