feature	metaStatus	metaReason	writeMode	itemsLen	missingSymbols	warnCount	emptyReason	upstream	cache	codesFound
rv-market-cockpit	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-market-health	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-market-regime	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-news-headlines	LIVE	-	NONE	items=34	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-news-intelligence	STALE	STALE	NONE	items=0	missingSymbols=0	warn=0	-	present	present	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-price-snapshot	LIVE	-	NONE	items=4	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-sector-rotation	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-sentiment-barometer	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-smart-money	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-sp500-sectors	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-tech-signals	LIVE	-	NONE	items=29	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-top-movers	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-volume-anomaly	LIVE	-	NONE	items=5	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-why-moved	LIVE	-	NONE	items=5	missingSymbols=1	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
rv-yield-curve	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	CACHE_EMPTY,EVENT_NO_EVENTS,MIRROR_FALLBACK,MISSING_META,MISSING_META_STATUS,NO_DATA,NO_SOURCE,STALE,THRESHOLD_TOO_STRICT,UPSTREAM_4XX,UPSTREAM_AUTH
